,Unnamed: 0,Composer,Number_of_Pitches,Number_of_Common_Pitches,Range,Dominant_Spread,Strong_Tonal_Centres,Pitch_Variability,Pitch_Skewness,Pitch_Kurtosis,Most_Common_Melodic_Interval,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Direction_of_Melodic_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Vertical_Dissonance_Ratio,Non-Standard_Chords,Complex_Chords,Initial_Time_Signature_0,Initial_Time_Signature_1,Metrical_Diversity,Mean_Rhythmic_Value,Rhythmic_Value_Variability,Complete_Rests_Fraction,Rhythmic_Variability_-_Tempo_Standardized,Polyrhythms_-_Tempo_Standardized,Note_Density,Note_Density_Variability,Strongest_Rhythmic_Pulse,Rhythmic_Variability,Polyrhythms,Number_of_Pitched_Instruments,Voice_Equality_-_Number_of_Notes,Parallel_Motion,Similar_Motion,Contrary_Motion,Oblique_Motion,Average_Note_to_Note_Change_in_Dynamics
21,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv153_(c)maclean.mid,5.0,42.0,1.0,45.0,4.0,1.0,9.337,-0.3015,5.605,2.0,0.3087,0.1268,0.2792,0.5844,0.5103,1.659,4.736000000000001,4.68,0.1044,0.23199999999999998,0.0003612,4.0,4.0,3.0,0.6338,0.804,0.06551,0.0247,0.2,11.71,5.992000000000001,54.0,0.02766,0.25,3.0,206.0,0.09667,0.1154,0.1486,0.6393,0.1649
22,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv154_(c)maclean.mid,5.0,26.0,2.0,40.0,7.0,2.0,8.517999999999999,-0.2996,5.763999999999999,2.0,0.1925,0.02804,0.2355,0.6916,0.4846,1.469,3.98,4.356,0.09859,0.1483,0.0,4.0,4.0,1.0,0.3785,0.321,0.2059,0.02425,0.3,7.412999999999999,3.642,73.0,0.031810000000000005,0.3333,2.0,72.52,0.1125,0.2813,0.1662,0.4399,0.0
23,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv155_(c)maclean.mid,5.0,43.0,0.0,46.0,6.0,2.0,9.212,-0.2991,5.497000000000001,2.0,0.4203,0.08928,0.2051,0.4366,0.506,1.5419999999999998,5.556,4.732,0.1083,0.2103,0.008705,4.0,4.0,2.0,0.6593,0.807,0.06217999999999999,0.022869999999999998,0.4,7.129,2.978,81.0,0.027860000000000003,0.2857,3.0,194.6,0.03607,0.1119,0.09836,0.7536,0.1314
24,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv156_(c)maclean.mid,5.0,45.0,1.0,48.0,7.0,2.0,8.494,-0.41600000000000004,6.2410000000000005,2.0,0.3506,0.09764,0.2057,0.5281,0.4838,1.62,5.433,4.749,0.1016,0.2317,0.0,4.0,4.0,3.0,0.6349,0.9427,0.06267,0.02361,0.3,9.783999999999999,4.994,79.0,0.028739999999999998,0.2857,3.0,153.3,0.04112,0.1151,0.08338,0.7604,0.06665
25,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv156_(c)mccoy.mid,5.0,52.0,1.0,60.0,7.0,2.0,8.986,-0.4112,7.256,2.0,0.452,0.01734,0.1235,0.2993,0.4783,1.8130000000000002,10.43,5.521,0.1181,0.2258,0.001036,4.0,4.0,4.0,0.5355,0.8506,0.0538,0.0232,0.4,9.54,5.513999999999999,92.0,0.02621,0.375,17.0,289.4,0.057589999999999995,0.1295,0.0929,0.72,0.0
26,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv157_(c)mccoy.mid,5.0,35.0,3.0,48.0,3.0,2.0,7.777,-0.2686,5.9670000000000005,2.0,0.3672,0.05889,0.179,0.4007,0.6086,1.6909999999999998,6.981,3.207,0.1081,0.2311,0.05685,4.0,4.0,1.0,0.7176,1.092,0.0183,0.021730000000000003,0.3,10.71,3.8,87.0,0.02647,0.2857,4.0,166.3,0.02358,0.07901,0.05425,0.8432,0.07318999999999999
27,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv157_(fenske).mid,5.0,81.0,0.0,103.0,6.0,2.0,17.14,-0.0029289999999999997,5.917999999999999,2.0,0.3928,0.1103,0.1657,0.4241,0.6287,1.883,7.455,3.861,0.1607,0.4976,0.3269,4.0,4.0,1.0,0.6229,0.8331,0.01704,0.02402,0.3,23.58,7.912000000000001,89.0,0.027260000000000003,0.25,5.0,395.2,0.1647,0.1271,0.07135,0.6369,0.04487
28,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv158_(c)maclean.mid,5.0,36.0,0.0,43.0,6.0,3.0,8.401,-0.2914,5.69,2.0,0.2437,0.0463,0.2887,0.6695,0.4916,1.642,4.317,5.2139999999999995,0.1315,0.2104,0.0035329999999999997,4.0,4.0,2.0,0.7232,0.7101,0.05341,0.026739999999999996,0.2,7.023,2.909,51.0,0.02997,0.25,1.0,175.4,0.050730000000000004,0.1212,0.1815,0.6466,0.012819999999999998
29,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv159_(c)maclean.mid,5.0,37.0,0.0,48.0,4.0,3.0,9.185,-0.2806,5.33,2.0,0.2654,0.07586,0.2888,0.6314,0.5069,1.663,4.72,4.9030000000000005,0.09771,0.2451,0.005124,4.0,4.0,3.0,0.6472,0.6514,0.059070000000000004,0.02424,0.4,10.05,4.946000000000001,82.0,0.02913,0.4286,4.0,180.0,0.06742000000000001,0.1122,0.1583,0.6621,0.2156
30,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv160_(c)maclean.mid,5.0,39.0,0.0,43.0,4.0,2.0,9.169,-0.7337,5.242000000000001,2.0,0.3182,0.07365,0.2534,0.5887,0.4885,1.604,4.535,4.962,0.1387,0.2954,0.0,3.0,4.0,1.0,0.6274,0.6069,0.02122,0.024990000000000002,0.4,6.255,1.949,64.0,0.03556,0.4,2.0,269.0,0.06224,0.1022,0.1628,0.6727,0.01896
31,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv161_(c)mccoy.mid,5.0,40.0,1.0,44.0,6.0,2.0,9.267999999999999,-0.7128,5.604,2.0,0.2582,0.004520000000000001,0.1582,0.4667,0.4904,1.536,9.261000000000001,5.079,0.1201,0.3427,0.002868,3.0,2.0,1.0,1.5330000000000001,1.587,0.006755,0.03367,0.4,7.462999999999999,3.1919999999999997,66.0,0.03308,0.4,8.0,184.9,0.0394,0.07792,0.1108,0.7718,0.0
32,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv161_(mccloskey).mid,5.0,40.0,1.0,44.0,3.0,2.0,9.502,-0.1229,5.73,2.0,0.3292,0.1584,0.2252,0.5787,0.4806,1.61,5.332999999999999,4.194,0.14400000000000002,0.3301,0.0,3.0,2.0,1.0,1.334,1.171,0.005376,0.03271,0.4,5.169,1.7369999999999999,57.0,0.03614,0.5,1.0,205.7,0.03953,0.08726,0.1219,0.7513,0.0
33,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv164_(c)maclean.mid,5.0,35.0,1.0,46.0,6.0,3.0,7.9110000000000005,0.01093,5.806,2.0,0.2814,0.04881,0.2399,0.6085,0.5022,1.825,5.086,4.555,0.168,0.2389,0.0,4.0,4.0,1.0,0.4687,0.7461,0.06964,0.02162,0.2,4.805,2.002,62.0,0.03108,0.4,1.0,115.5,0.0354,0.1125,0.07332000000000001,0.7788,0.0
34,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv171_(c)mccoy.mid,5.0,29.0,0.0,39.0,6.0,2.0,7.956,-0.1633,5.372999999999999,2.0,0.4559,0.156,0.08591,0.2758,0.49200000000000005,2.295,16.93,5.165,0.0833,0.1926,0.0,4.0,4.0,2.0,0.3702,0.4654,0.16699999999999998,0.02368,0.3,20.15,11.56,192.0,0.026619999999999998,0.5,5.0,123.1,0.05766,0.2405,0.1993,0.5025,0.0
35,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv174_(c)mccoy.mid,5.0,39.0,1.0,48.0,6.0,2.0,9.612,-0.2266,5.558,2.0,0.4632,0.08045,0.1199,0.3007,0.524,1.641,7.492999999999999,4.414,0.08435,0.1548,0.0,12.0,8.0,1.0,0.8119,0.6986,0.1119,0.034839999999999996,0.6,22.31,6.204,69.0,0.02725,0.25,6.0,296.4,0.043769999999999996,0.1365,0.1565,0.6632,0.0
36,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv174_(cooke).mid,5.0,47.0,0.0,60.0,7.0,2.0,12.12,-0.7271,5.587000000000001,2.0,0.45,0.08201,0.1237,0.3083,0.5215,1.642,7.147,4.498,0.09805,0.1569,0.0,12.0,8.0,2.0,0.9097,0.7303,0.03607,0.03492,0.6,10.67,2.2230000000000003,71.0,0.03883,0.25,7.0,305.6,0.1439,0.1372,0.1263,0.5926,0.02162
37,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv177_(mccloskey).mid,5.0,36.0,0.0,44.0,5.0,1.0,9.573,-0.2151,5.675,2.0,0.2791,0.09884,0.2485,0.6439,0.5306,1.896,4.982,4.747,0.1142,0.264,0.0,4.0,2.0,1.0,1.764,1.365,0.0,0.03705,0.4,4.668,1.104,68.0,0.036969999999999996,0.4,1.0,114.3,0.0467,0.0696,0.131,0.7527,0.0
38,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv178_(mccloskey).mid,5.0,35.0,0.0,41.0,7.0,2.0,9.01,-0.3305,5.602,2.0,0.1412,0.04962,0.3263,0.7805,0.498,2.084,4.916,4.7330000000000005,0.1436,0.2337,0.002801,4.0,4.0,1.0,0.9015,0.8664,0.05265,0.02901,0.4,4.227,1.671,42.0,0.0339,0.75,4.0,9.179,0.04871,0.1232,0.1304,0.6977,0.0
39,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv180_(mccloskey).mid,5.0,36.0,2.0,40.0,6.0,2.0,7.334,-0.3693,6.0120000000000005,2.0,0.2081,0.1074,0.2644,0.7020000000000001,0.4436,1.868,4.68,4.645,0.1324,0.1928,0.001212,4.0,4.0,1.0,0.7974,0.7643,0.03625,0.02895,0.6,4.479,1.081,77.0,0.03712,0.6667,3.0,90.8,0.0512,0.1129,0.1296,0.7064,0.0
40,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv183_(mccloskey).mid,5.0,39.0,0.0,43.0,6.0,2.0,8.05,-0.1155,5.532,2.0,0.1856,0.07702,0.3182,0.7689,0.4993,2.0709999999999997,4.705,4.773,0.124,0.2355,0.0,4.0,4.0,1.0,0.7045,0.7607,0.03461,0.02719,0.4,5.944,1.702,44.0,0.032010000000000004,0.75,5.0,53.08,0.052410000000000005,0.1551,0.1209,0.6717,0.0
41,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv184_(c)mccoy.mid,5.0,37.0,1.0,47.0,6.0,3.0,8.957,-0.6343,6.398,2.0,0.2065,0.04672,0.2586,0.696,0.5021,1.703,4.815,4.396,0.1293,0.2802,0.0,4.0,4.0,1.0,0.7179,0.8779,0.002648,0.02033,0.2,7.732,3.128,68.0,0.02694,0.4,5.0,166.1,0.03751,0.08598,0.09636,0.7802,0.0
42,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv184_(mccloskey).mid,5.0,37.0,1.0,47.0,6.0,2.0,8.407,-0.6756,6.412000000000001,2.0,0.2015,0.06142,0.3071,0.7371,0.5052,1.811,4.345,4.618,0.1491,0.2426,0.0,4.0,4.0,1.0,0.7163,0.7285,0.03508,0.025960000000000004,0.2,4.638,1.2109999999999999,70.0,0.03361,0.3333,5.0,82.81,0.03915,0.1219,0.1228,0.7162,0.0
43,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv185_(mccloskey).mid,5.0,31.0,1.0,40.0,7.0,2.0,8.796,-0.05985,5.595,2.0,0.1746,0.053520000000000005,0.2986,0.7634,0.506,1.8359999999999999,4.0489999999999995,4.09,0.1305,0.2326,0.0,4.0,4.0,1.0,0.7406,0.6037,0.04937,0.02599,0.6,4.085,1.214,65.0,0.03568,0.6667,2.0,24.66,0.02559,0.1122,0.1437,0.7185,0.0
